slug,festival_name,destination,state,month,bucket,footage_family,currently_live,note
nongkrem-dance,Nongkrem Dance,Shillong,meghalaya,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
cherry-blossom-festival,Cherry Blossom Festival,Shillong,meghalaya,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
me-dam-me-phi,Me-Dam-Me-Phi,Sivasagar,assam,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
aoling-festival,Aoling Festival,Mon,nagaland,April,NONE,obscure,yes,No obvious authentic free footage — image fallback.
ambubachi-mela,Ambubachi Mela,Guwahati,assam,June,NONE,obscure,yes,No obvious authentic free footage — image fallback.
elephanta-festival,Elephanta Festival,Elephanta Caves,maharashtra,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
sulafest,SulaFest,Nashik,maharashtra,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
pandharpur-wari,Pandharpur Wari,Pune,maharashtra,July,NONE,obscure,yes,No obvious authentic free footage — image fallback.
feast-of-st-francis-xavier,Feast of St Francis Xavier,Old Goa,goa,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
sunburn-festival,Sunburn Festival,Calangute-Baga,goa,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
sao-joao-festival,Sao Joao Festival,Palolem,goa,June,NONE,obscure,yes,No obvious authentic free footage — image fallback.
hampi-utsav-vijaya-utsav,Hampi Utsav (Vijaya Utsav),Hampi,karnataka,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
karaga-festival,Karaga Festival,Bengaluru,karnataka,April,NONE,obscure,yes,No obvious authentic free footage — image fallback.
kadalekai-parishe-groundnut-fair,Kadalekai Parishe (Groundnut Fair),Bengaluru,karnataka,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
kambala-buffalo-race,Kambala (Buffalo Race),Mangalore,karnataka,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
paryaya-festival,Paryaya Festival,Udupi,karnataka,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
vairamudi-festival,Vairamudi Festival,Belur,karnataka,April,NONE,obscure,yes,No obvious authentic free footage — image fallback.
banashankari-temple-fair,Banashankari Temple Fair,Badami,karnataka,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
cauvery-sankriti-tula-sankramana,Cauvery Sankriti (Tula Sankramana),Coorg (Kodagu),karnataka,October,NONE,obscure,yes,No obvious authentic free footage — image fallback.
siddheshwara-jatre,Siddheshwara Jatre,Bijapur (Vijayapura),karnataka,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
pattadakal-dance-festival,Pattadakal Dance Festival,Pattadakal,karnataka,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
mahamastakabhisheka,Mahamastakabhisheka,Shravanabelagola,karnataka,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
coffee-blossom-festival,Coffee Blossom Festival,Chikmagalur,karnataka,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
kochi-muziris-biennale,Kochi-Muziris Biennale,Kochi (Fort Kochi),kerala,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
cochin-carnival,Cochin Carnival,Kochi (Fort Kochi),kerala,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
wayanad-food-festival,Wayanad Food Festival,Wayanad,kerala,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
malabar-mahotsavam,Malabar Mahotsavam,Kozhikode (Calicut),kerala,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
ashtamudi-craft-coir-festival,Ashtamudi Craft & Coir Festival,Kollam,kerala,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
guruvayur-ekadashi,Guruvayur Ekadashi,Guruvayur,kerala,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
bekal-fort-festival,Bekal Fort Festival,Bekal,kerala,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
varkala-sivagiri-pilgrimage,Varkala Sivagiri Pilgrimage,Varkala,kerala,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
chalakudy-river-festival,Chalakudy River Festival,Athirapally Falls,kerala,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
chithirai-festival,Chithirai Festival,Madurai,tamil nadu,April,NONE,obscure,yes,No obvious authentic free footage — image fallback.
float-festival-teppam,Float Festival (Teppam),Madurai,tamil nadu,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
margazhi-music-season,Margazhi Music Season,Chennai,tamil nadu,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
natyanjali-dance-festival,Natyanjali Dance Festival,Chidambaram,tamil nadu,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
brihadeeswara-temple-festival,Brihadeeswara Temple Festival,Thanjavur (Tanjore),tamil nadu,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
vivekananda-jayanti-national-youth-day,Vivekananda Jayanti / National Youth Day,Kanyakumari,tamil nadu,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
mahamaham-festival,Mahamaham Festival,Kumbakonam,tamil nadu,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
vaikunta-ekadashi,Vaikunta Ekadashi,Srirangam,tamil nadu,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
chettinad-heritage-walk-festival,Chettinad Heritage Walk Festival,Chettinad,tamil nadu,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
toda-tribal-festival,Toda Tribal Festival,Kotagiri,tamil nadu,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
aadi-festival-at-the-falls,Aadi Festival at the Falls,Courtallam (Kutralam),tamil nadu,July,NONE,obscure,yes,No obvious authentic free footage — image fallback.
hogenakkal-mela,Hogenakkal Mela,Hogenakkal Falls,tamil nadu,October,NONE,obscure,yes,No obvious authentic free footage — image fallback.
mamallapuram-dance-festival,Mamallapuram Dance Festival,Mahabalipuram (Mamallapuram),tamil nadu,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
auroville-anniversary,Auroville Anniversary,Auroville,puducherry,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
srivari-brahmotsavam-tirupati,Srivari Brahmotsavam,Tirupati,andhra pradesh,October,NONE,obscure,no,No obvious authentic free footage — image fallback.
vaikuntha-ekadasi,Vaikuntha Ekadasi,Tirupati,andhra pradesh,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
vizag-utsav-deccan-festival,Vizag Utsav / Deccan Festival,Visakhapatnam,andhra pradesh,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
flamingo-festival,Flamingo Festival,Pulicat Lake,andhra pradesh,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
godavari-pushkaralu,Godavari Pushkaralu,Rajahmundry,andhra pradesh,July,NONE,obscure,yes,No obvious authentic free footage — image fallback.
kalamkari-utsav,Kalamkari Utsav,Machilipatnam,andhra pradesh,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
hyderabadi-haleem-season,Hyderabadi Haleem Season,Hyderabad,telangana,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
sammakka-saralamma-jatara,Sammakka Saralamma Jatara,Warangal,telangana,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
sri-rama-navami-bhadrachalam-kalyanam,Sri Rama Navami (Bhadrachalam Kalyanam),Bhadrachalam,telangana,April,NONE,obscure,yes,No obvious authentic free footage — image fallback.
vaikuntha-ekadasi-at-bhadrachalam,Vaikuntha Ekadasi at Bhadrachalam,Bhadrachalam,telangana,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
kakatiya-utsavam,Kakatiya Utsavam,Ramappa Temple,telangana,October,NONE,obscure,yes,No obvious authentic free footage — image fallback.
mahavir-jayanti-kolanupaka,Mahavir Jayanti,Kolanupaka,telangana,April,NONE,obscure,yes,No obvious authentic free footage — image fallback.
dandari-gusadi-dance-festival,Dandari / Gusadi Dance Festival,Adilabad,telangana,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
snana-yatra,Snana Yatra,Puri,odisha,June,NONE,obscure,yes,No obvious authentic free footage — image fallback.
bahuda-yatra,Bahuda Yatra,Puri,odisha,July,NONE,obscure,yes,No obvious authentic free footage — image fallback.
konark-dance-festival,Konark Dance Festival,Konark,odisha,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
adivasi-mela,Adivasi Mela,Bhubaneswar,odisha,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
dhauli-shanti-utsav,Dhauli Shanti Utsav,Bhubaneswar,odisha,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
bali-jatra,Bali Jatra,Cuttack,odisha,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
sital-sasthi,Sital Sasthi,Sambalpur,odisha,June,NONE,obscure,yes,No obvious authentic free footage — image fallback.
chilika-bird-festival,Chilika Bird Festival,Chilika Lake,odisha,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
olive-ridley-turtle-festival,Olive Ridley Turtle Festival,Bhitarkanika,odisha,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
chaitra-parva-chhau-festival,Chaitra Parva Chhau Festival,Baripada,odisha,April,NONE,obscure,yes,No obvious authentic free footage — image fallback.
raghurajpur-art-festival,Raghurajpur Art Festival,Raghurajpur,odisha,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
parab-tribal-festival,Parab Tribal Festival,Koraput,odisha,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
chaiti-ghoda,Chaiti Ghoda,Daringbadi,odisha,April,NONE,obscure,yes,No obvious authentic free footage — image fallback.
rann-utsav,Rann Utsav,Kutch (Bhuj),gujarat,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
kutch-mahotsav,Kutch Mahotsav,Kutch (Bhuj),gujarat,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
janmashtami-at-dwarkadhish,Janmashtami at Dwarkadhish,Dwarka,gujarat,August,NONE,obscure,yes,No obvious authentic free footage — image fallback.
kartik-purnima-at-somnath,Kartik Purnima at Somnath,Somnath,gujarat,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
shatrunjaya-mahotsav,Shatrunjaya Mahotsav,Palitana,gujarat,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
gir-jungle-trail-festival,Gir Jungle Trail Festival,Gir National Park,gujarat,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
full-moon-rann-walk,Full Moon Rann Walk,Rann of Kutch,gujarat,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
ekta-diwas-unity-day,Ekta Diwas (Unity Day),Statue of Unity,gujarat,October,NONE,obscure,yes,No obvious authentic free footage — image fallback.
buddha-purnima-bodh-gaya,Buddha Purnima,Bodh Gaya,bihar,May,NONE,obscure,yes,No obvious authentic free footage — image fallback.
meditation-retreat-season,Meditation Retreat Season,Bodh Gaya,bihar,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
rajgir-dance-festival,Rajgir Dance Festival,Rajgir,bihar,October,NONE,obscure,yes,No obvious authentic free footage — image fallback.
shravani-mela,Shravani Mela,Deoghar,jharkhand,July,NONE,obscure,yes,No obvious authentic free footage — image fallback.
bastar-tribal-haat,Bastar Tribal Haat,Jagdalpur,chhattisgarh,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
kharchi-puja,Kharchi Puja,Agartala,tripura,July,NONE,obscure,yes,No obvious authentic free footage — image fallback.
island-tourism-festival,Island Tourism Festival,Port Blair (Sri Vijaya Puram),andaman nicobar,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
subhash-mela,Subhash Mela,Port Blair (Sri Vijaya Puram),andaman nicobar,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
beach-festival,Beach Festival,Havelock Island (Swaraj Dweep),andaman nicobar,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
independence-day-at-cellular-jail,Independence Day at Cellular Jail,Port Blair (Sri Vijaya Puram),andaman nicobar,August,NONE,obscure,yes,No obvious authentic free footage — image fallback.
monsoon-festival-port-blair,Monsoon Festival,Port Blair (Sri Vijaya Puram),andaman nicobar,August,NONE,obscure,yes,No obvious authentic free footage — image fallback.
gandhi-jayanti-heritage-walk,Gandhi Jayanti Heritage Walk,Ross Island (Netaji Subhas Chandra Bose Dweep),andaman nicobar,October,NONE,obscure,yes,No obvious authentic free footage — image fallback.
lava-dance-festival,Lava Dance Festival,Minicoy Island,lakshadweep,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
marine-heritage-festival,Marine Heritage Festival,Kavaratti,lakshadweep,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
warli-art-festival,Warli Art Festival,Silvassa,daman diu,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
ladarcha-fair-kaza,Ladarcha Fair,Kaza,himachal pradesh,August,NONE,obscure,yes,No obvious authentic free footage — image fallback.
tsheshu-chaam-festival,Tsheshu Chaam Festival,Kaza,himachal pradesh,July,NONE,obscure,yes,No obvious authentic free footage — image fallback.
hemkund-sahib-prakash-utsav,Hemkund Sahib Prakash Utsav,Hemkund Sahib,uttarakhand,June,NONE,obscure,yes,No obvious authentic free footage — image fallback.
mopin-festival,Mopin Festival,Aalo,arunachal pradesh,April,NONE,obscure,yes,No obvious authentic free footage — image fallback.
solung-festival-aalo,Solung Festival,Aalo,arunachal pradesh,September,NONE,obscure,no,No obvious authentic free footage — image fallback.
narasimha-jayanthi,Narasimha Jayanthi,Ahobilam,andhra pradesh,April,NONE,obscure,yes,No obvious authentic free footage — image fallback.
belum-caves-festival,Belum Caves Festival,Belum Caves,andhra pradesh,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
gandikota-festival,Gandikota Festival,Gandikota,andhra pradesh,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
lumbini-festival,Lumbini Festival,Nagarjuna Sagar,andhra pradesh,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
srivari-brahmotsavam-tirumala,Srivari Brahmotsavam,Tirumala,andhra pradesh,September,NONE,obscure,no,No obvious authentic free footage — image fallback.
reh-festival,Reh Festival,Anini,arunachal pradesh,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
podi-barbi-festival,Podi-Barbi Festival,Mechuka,arunachal pradesh,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
solung-festival-pasighat,Solung Festival,Pasighat,arunachal pradesh,September,NONE,obscure,no,No obvious authentic free footage — image fallback.
raas-mahotsav,Raas Mahotsav,Majuli,assam,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
nirvana-mahotsav,Nirvana Mahotsav,Pawapuri,bihar,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
vaishali-mahotsav,Vaishali Mahotsav,Vaishali,bihar,March,NONE,obscure,no,No obvious authentic free footage — image fallback.
bhoramdeo-mahotsav,Bhoramdeo Mahotsav,Bhoramdeo,chhattisgarh,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
sirpur-mahotsav-national-dance-and-music-festival,Sirpur Mahotsav (National Dance and Music Festival),Sirpur,chhattisgarh,February,NONE,obscure,no,No obvious authentic free footage — image fallback.
sarhul,Sarhul,Ranchi,jharkhand,March,NONE,obscure,no,No obvious authentic free footage — image fallback.
mahavir-jayanti-shikharji,Mahavir Jayanti,Shikharji,jharkhand,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
shigmo-shigmotsav-margao,Shigmo (Shigmotsav),Margao,goa,March,NONE,obscure,no,No obvious authentic free footage — image fallback.
feast-of-the-three-kings-reis-magos,Feast of the Three Kings (Reis Magos),Reis Magos Fort,goa,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
sao-joao-festival-so-joo-siolim,Sao Joao Festival (São João),Siolim,goa,June,NONE,obscure,no,No obvious authentic free footage — image fallback.
sao-joao-festival-so-joo-assagao,Sao Joao Festival (São João),Assagao,goa,June,NONE,obscure,no,No obvious authentic free footage — image fallback.
sammed-shikhar-festival,Sammed Shikhar Festival,Shikharji,jharkhand,,NONE,obscure,no,No obvious authentic free footage — image fallback.
shigmo-shigmotsav-ponda-spice,Shigmo (Shigmotsav),Spice Plantations (Ponda),goa,March,NONE,obscure,no,No obvious authentic free footage — image fallback.
mahalsa-temple-annual-jatra,Mahalsa Temple Annual Jatra,Spice Plantations (Ponda),goa,,NONE,obscure,yes,No obvious authentic free footage — image fallback.
bhadarvi-poonam-mela,Bhadarvi Poonam Mela,Ambaji,gujarat,September,NONE,obscure,no,No obvious authentic free footage — image fallback.
janmashtami-festival,Janmashtami Festival,Dakor,gujarat,August,NONE,obscure,yes,No obvious authentic free footage — image fallback.
sharad-purnima-festival,Sharad Purnima Festival,Dakor,gujarat,October,NONE,obscure,no,No obvious authentic free footage — image fallback.
uttarardh-mahotsav-modhera-dance-festival,Uttarardh Mahotsav (Modhera Dance Festival),Modhera Sun Temple,gujarat,January,NONE,obscure,no,No obvious authentic free footage — image fallback.
mandvi-beach-festival,Mandvi Beach Festival,Mandvi,gujarat,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
dholavira-festival,Dholavira Festival,Dholavira,gujarat,,NONE,obscure,yes,No obvious authentic free footage — image fallback.
lili-parikrama-green-circumambulation-of-mount-girnar,Lili Parikrama (Green Circumambulation of Mount Girnar),Mount Girnar,gujarat,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
gandhi-jayanti-celebrations-at-kirti-mandir,Gandhi Jayanti Celebrations at Kirti Mandir,Porbandar,gujarat,October,NONE,obscure,yes,No obvious authentic free footage — image fallback.
water-festival-rani-ki-vav,Water Festival - Rani ki Vav,Rani ki Vav (Patan),gujarat,December,NONE,obscure,no,No obvious authentic free footage — image fallback.
saputara-monsoon-festival,Saputara Monsoon Festival,Saputara,gujarat,July,NONE,obscure,no,No obvious authentic free footage — image fallback.
dang-darbar-festival,Dang Darbar Festival,Saputara,gujarat,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
dalai-lamas-birthday,Dalai Lama's Birthday,McLeod Ganj,himachal pradesh,July,NONE,obscure,yes,No obvious authentic free footage — image fallback.
manimahesh-yatra,Manimahesh Yatra,Manimahesh Kailash,himachal pradesh,August,NONE,obscure,yes,No obvious authentic free footage — image fallback.
shrikhand-mahadev-yatra,Shrikhand Mahadev Yatra,Shrikhand Mahadev,himachal pradesh,July,NONE,obscure,no,No obvious authentic free footage — image fallback.
kinner-kailash-parikrama,Kinner Kailash Parikrama,Kinner Kailash,himachal pradesh,July,NONE,obscure,yes,No obvious authentic free footage — image fallback.
phulaich-festival-of-flowers,Phulaich (Festival of Flowers),Sangla Valley,himachal pradesh,September,NONE,obscure,yes,No obvious authentic free footage — image fallback.
prashar-mela-parashar-fair,Prashar Mela (Parashar Fair),Prashar Lake,himachal pradesh,June,NONE,obscure,no,No obvious authentic free footage — image fallback.
fagli-festival-kinnaur,Fagli Festival,Kinnaur,himachal pradesh,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
lolab-winter-festival,Lolab Winter Festival,Lolab Valley,jammu kashmir,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
ashlesha-bali-puja,Ashlesha Bali Puja,Kukke Subramanya,karnataka,,NONE,obscure,yes,No obvious authentic free footage — image fallback.
karavali-utsav,Karavali Utsav,Karwar,karnataka,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
mandala-makaravilakku-pilgrimage-season,Mandala-Makaravilakku Pilgrimage Season,Sabarimala,kerala,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
marari-mahadeva-arattu-temple-festival,Marari Mahadeva Arattu (Temple Festival),Marari Beach,kerala,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
thangal-para-uroos-sufi-pilgrimage-festival,Thangal Para Uroos (Sufi Pilgrimage Festival),Vagamon,kerala,April,NONE,obscure,no,No obvious authentic free footage — image fallback.
kartik-purnima-bhimashankar,Kartik Purnima,Bhimashankar,maharashtra,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
ellora-ajanta-festival,Ellora-Ajanta Festival,Ellora Caves,maharashtra,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
monsoon-festival-amboli,Monsoon Festival,Amboli,maharashtra,July,NONE,obscure,yes,No obvious authentic free footage — image fallback.
dussehra-seemollanghan-at-shami-tree,Dussehra (Seemollanghan at Shami Tree),Karla & Bhaja Caves,maharashtra,October,NONE,obscure,yes,No obvious authentic free footage — image fallback.
kamala-devi-festival,Kamala Devi Festival,Lonar Crater,maharashtra,,NONE,obscure,yes,No obvious authentic free footage — image fallback.
krishnabai-annual-utsav,Krishnabai Annual Utsav,Mahabaleshwar,maharashtra,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
dhammachakra-pravartan-din,Dhammachakra Pravartan Din,Nagpur,maharashtra,October,NONE,obscure,yes,No obvious authentic free footage — image fallback.
ram-navami,Ram Navami,Shirdi,maharashtra,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
guru-purnima,Guru Purnima,Shirdi,maharashtra,July,NONE,obscure,yes,No obvious authentic free footage — image fallback.
vijayadashami-sai-baba-punyatithi,Vijayadashami (Sai Baba Punyatithi),Shirdi,maharashtra,October,NONE,obscure,no,No obvious authentic free footage — image fallback.
anganewadi-jatra-bharadi-devi-yatra,Anganewadi Jatra (Bharadi Devi Yatra),Tarkarli,maharashtra,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
kartik-purnima-omkareshwar,Kartik Purnima,Omkareshwar,madhya pradesh,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
tansen-samaroh,Tansen Samaroh,Gwalior,madhya pradesh,December,NONE,obscure,no,No obvious authentic free footage — image fallback.
mandu-festival,Mandu Festival,Mandu,madhya pradesh,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
nagdwari-mela,Nagdwari Mela,Pachmarhi,madhya pradesh,November,NONE,obscure,no,No obvious authentic free footage — image fallback.
buddha-purnima-sanchi,Buddha Purnima,Sanchi,madhya pradesh,May,NONE,obscure,yes,No obvious authentic free footage — image fallback.
vel-vel-festival,Vel Vel Festival,Moreh,manipur,,NONE,obscure,no,No obvious authentic free footage — image fallback.
gaan-ngai,Gaan-Ngai,Tamenglong,manipur,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
shirui-lily-festival,Shirui Lily Festival,Ukhrul,manipur,May,NONE,obscure,no,No obvious authentic free footage — image fallback.
luira-phanit,Luira Phanit,Ukhrul,manipur,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
monolith-festival,Monolith Festival,Mawphlang,meghalaya,,NONE,obscure,yes,No obvious authentic free footage — image fallback.
hnahsin-kut-cosmos-festival,Hnahsin Kut (Cosmos Festival),Champhai,mizoram,October,NONE,obscure,yes,No obvious authentic free footage — image fallback.
leitlangpui-music-festival,Leitlangpui Music Festival,Lunglei,mizoram,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
sekrenyi-khonoma,Sekrenyi,Khonoma,nagaland,February,NONE,obscure,no,No obvious authentic free footage — image fallback.
mongmong-festival,Mongmong Festival,Kiphire,nagaland,September,NONE,obscure,yes,No obvious authentic free footage — image fallback.
metemneo-festival,Metemneo Festival,Kiphire,nagaland,August,NONE,obscure,yes,No obvious authentic free footage — image fallback.
ashokastami-mela,Ashokastami Mela,Unakoti,tripura,April,NONE,obscure,no,No obvious authentic free footage — image fallback.
dhauli-kalinga-mahotsav,Dhauli Kalinga Mahotsav,Dhauli,odisha,February,NONE,obscure,yes,No obvious authentic free footage — image fallback.
buddha-purnima-dhauli,Buddha Purnima,Dhauli,odisha,May,NONE,obscure,yes,No obvious authentic free footage — image fallback.
nrusingha-chaturdasi-baisakh-mela,Nrusingha Chaturdasi (Baisakh Mela),Nrusinghanath & Harishankar,odisha,May,NONE,obscure,no,No obvious authentic free footage — image fallback.
chandipur-beach-festival,Chandipur Beach Festival,Chandipur,odisha,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
gopalpur-beach-festival,Gopalpur Beach Festival,Gopalpur-on-Sea,odisha,January,NONE,obscure,yes,No obvious authentic free footage — image fallback.
chaitra-mela,Chaitra Mela,Talasari,odisha,April,NONE,obscure,no,No obvious authentic free footage — image fallback.
pang-lhabsol-namchi,Pang Lhabsol,Namchi,sikkim,September,NONE,obscure,yes,No obvious authentic free footage — image fallback.
tendong-lho-rum-faat,Tendong Lho Rum Faat,Namchi,sikkim,August,NONE,obscure,no,No obvious authentic free footage — image fallback.
sani-peyarchi-saturn-transit-festival,Sani Peyarchi (Saturn Transit Festival),Karaikal,puducherry,,NONE,obscure,no,No obvious authentic free footage — image fallback.
karthika-pournami-jatara,Karthika Pournami Jatara,Ananthagiri Hills,telangana,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
ashada-jatara,Ashada Jatara,Ananthagiri Hills,telangana,June,NONE,obscure,yes,No obvious authentic free footage — image fallback.
kumbhalgarh-festival,Kumbhalgarh Festival,Kumbhalgarh,rajasthan,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
mahavir-jayanti-ranakpur,Mahavir Jayanti,Ranakpur Jain Temple,rajasthan,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
vaikasi-brahmotsavam-garuda-sevai,Vaikasi Brahmotsavam (Garuda Sevai),Kanchipuram,tamil nadu,May,NONE,obscure,no,No obvious authentic free footage — image fallback.
thaipusam-palani,Thaipusam,Palani,tamil nadu,January,NONE,obscure,no,No obvious authentic free footage — image fallback.
panguni-uthiram-palani,Panguni Uthiram,Palani,tamil nadu,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
coonoor-fruit-show-nilgiris-summer-festival,Coonoor Fruit Show (Nilgiris Summer Festival),Coonoor,tamil nadu,May,NONE,obscure,yes,No obvious authentic free footage — image fallback.
arudra-darshan-margazhi-tiruvadhirai,Arudra Darshan (Margazhi Tiruvadhirai),Coimbatore,tamil nadu,December,NONE,obscure,yes,No obvious authentic free footage — image fallback.
panguni-brahmotsavam,Panguni Brahmotsavam,Coimbatore,tamil nadu,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
skanda-sashti-pazhamudircholai,Skanda Sashti,Pazhamudircholai,tamil nadu,October,NONE,obscure,no,No obvious authentic free footage — image fallback.
panguni-uthiram-pazhamudircholai,Panguni Uthiram,Pazhamudircholai,tamil nadu,March,NONE,obscure,no,No obvious authentic free footage — image fallback.
karthigai-deepam,Karthigai Deepam,Tiruvannamalai,tamil nadu,November,NONE,obscure,yes,No obvious authentic free footage — image fallback.
skanda-sashti-tiruchendur,Skanda Sashti,Tiruchendur,tamil nadu,October,NONE,obscure,no,No obvious authentic free footage — image fallback.
thaipusam-swamimalai,Thaipusam,Swamimalai,tamil nadu,January,NONE,obscure,no,No obvious authentic free footage — image fallback.
skanda-sashti-swamimalai,Skanda Sashti,Swamimalai,tamil nadu,October,NONE,obscure,no,No obvious authentic free footage — image fallback.
vaikasi-vishakham-brahmotsavam,Vaikasi Vishakham / Brahmotsavam,Tiruparankundram,tamil nadu,May,NONE,obscure,no,No obvious authentic free footage — image fallback.
panguni-uthiram-tiruparankundram,Panguni Uthiram,Tiruparankundram,tamil nadu,March,NONE,obscure,yes,No obvious authentic free footage — image fallback.
thaipusam-tiruttani,Thaipusam,Tiruttani,tamil nadu,January,NONE,obscure,no,No obvious authentic free footage — image fallback.
skanda-sashti-tiruttani,Skanda Sashti,Tiruttani,tamil nadu,October,NONE,obscure,no,No obvious authentic free footage — image fallback.
vaikunta-ekadasi,Vaikunta Ekadasi,Trichy (Tiruchirappalli),tamil nadu,December,NONE,obscure,no,No obvious authentic free footage — image fallback.
samayapuram-mariamman-brahmotsavam,Samayapuram Mariamman Brahmotsavam,Trichy (Tiruchirappalli),tamil nadu,May,NONE,obscure,yes,No obvious authentic free footage — image fallback.
